,30-39,50-59,60-69
ENSG00000167393.18_PAR_Y,0.0,0.0,0.0
ENSG00000222852.1,0.0,0.0,0.0
ENSG00000237058.1,0.0,0.25,0.1870503181506821
ENSG00000279329.1,0.8512134650516805,0.25423185315413915,0.031223256933724738
ENSG00000240207.7,0.7388004451659999,0.3261409373217441,0.0520931976560973
ENSG00000235118.9,0.0,0.0,0.0
ENSG00000263672.2,0.0,0.4914046036360187,0.0
ENSG00000206922.1,0.0,0.0,0.0
ENSG00000274403.1,0.7977898229495624,0.3703377013751047,0.12923089175159871
ENSG00000124596.17,0.6116939722090972,0.5068874574506042,0.5
ENSG00000168487.20,0.8110799234557764,0.5367928897494839,0.37568472801883207
ENSG00000248227.1,0.0,0.0,0.5
ENSG00000280185.1,0.0,0.0,0.0
ENSG00000085063.17,0.8558329619168864,0.7556120819923352,0.3297455735778033
ENSG00000236555.1,0.0,0.0,0.0
ENSG00000251892.1,0.0,0.0,0.0
ENSG00000238169.2,0.0,0.0,0.0
ENSG00000217385.1,0.0,0.0,0.0
ENSG00000212607.1,0.5897578631738201,0.583557421743127,0.03268086589061656
ENSG00000224634.1,0.0,0.0,0.0
ENSG00000277501.1,0.17948249678002265,0.4189430784905515,0.46378246409965584
ENSG00000250250.2,0.0,0.25,0.0
ENSG00000256971.2,0.0,0.0,0.0
ENSG00000276403.1,0.0,0.25,0.33766047957879475
ENSG00000233647.2,0.9255529161056315,0.25,0.2690304947691455
ENSG00000121060.19,0.7716385888209534,0.3855395800839346,0.13506249486937036
ENSG00000222416.1,0.0,0.0,0.0
ENSG00000201860.1,0.0,0.0,0.0
ENSG00000100417.12,0.4707300030791824,0.11606910226607516,0.8311195365661365
ENSG00000115590.14,0.9904528281444226,0.7607225020220678,0.14895240469717927
ENSG00000270934.1,0.0,0.0,0.0
ENSG00000250730.2,0.0,0.0,0.0
ENSG00000273423.1,0.33629282766934027,0.25,0.0
ENSG00000288998.1,0.45424273093225176,0.3898314854694741,0.02299391993181801
ENSG00000266160.2,0.0,0.0,0.0
ENSG00000199609.1,0.0,0.25,0.0
ENSG00000267642.1,0.5983433547952253,0.34089820677911986,0.0
ENSG00000172936.16,0.47346816264067026,0.3315359380416494,0.39936841037261256
ENSG00000160221.18,0.33798279937112496,0.14349143877573395,0.6178709299742482
ENSG00000125505.17,0.963818870200228,0.635623323861424,0.2619371519173128
ENSG00000260341.1,0.0,0.0,0.0
ENSG00000111145.8,0.4216738587210902,0.4741273685667441,0.003487043043342378
ENSG00000250742.5,0.9028336260092005,0.6006646301231906,0.006127338898237338
ENSG00000136044.12,0.8608320208548307,0.568997900034396,0.1525597856586832
ENSG00000272461.1,0.5,0.17411362514978504,0.0
ENSG00000163982.6,0.0,0.0,0.0
ENSG00000107742.14,0.7524996694527136,0.6203771887284422,0.4299913627819789
ENSG00000286405.1,0.0,0.0,0.0
ENSG00000244471.6,0.6553227474501582,0.4596028625759342,0.09038556216822233
ENSG00000070950.10,0.9037816347342854,0.6510646316650326,0.0987185992777649
ENSG00000026559.14,0.7795896734689594,0.3859907553588483,0.020815435522151305
ENSG00000159339.13,0.6289740835628519,0.7069266181578057,0.23359900363189545
ENSG00000230799.1,0.5644004695977748,0.48086441950734543,0.2894266465007562
ENSG00000286316.1,0.5,0.0,0.0
ENSG00000170412.18,0.9366429949817279,0.6171552149374152,0.4816457542698666
ENSG00000244019.1,0.0,0.0,0.0
ENSG00000207784.3,0.0,0.0,0.0
ENSG00000261537.1,0.541201839381258,0.11485980921871417,0.06548941754180157
ENSG00000162456.10,0.0,0.43179170307493864,0.0
ENSG00000216721.3,0.0,0.34413390663390664,0.0
ENSG00000266807.1,0.0,0.0,0.0
ENSG00000200508.1,0.0,0.0,0.0
ENSG00000253532.1,0.46576874495631737,0.25,0.0
ENSG00000288759.1,0.8240649478951624,0.47283242495373756,0.005133140194848287
ENSG00000054523.19,0.9333684167914829,0.4977007619753441,0.2605709677118008
ENSG00000211643.2,0.8885107505775078,0.5737698461238937,0.3659003708729893
ENSG00000265251.1,0.0,0.0,0.0
